,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
3383,divorced,Holders of other higher courses,1,Management,daytime,Higher education - degree,130.0,Portuguese,Basic Education 3rd Cycle,Secondary Education - 12th Year,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",130.0,0,0,0,1,female,0,35,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Dropout
3384,single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary education,127.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,122.8,1,0,0,1,female,0,19,0,0,5,10,2,14.5,1,0,5,9,3,11.333333333333334,0,12.7,3.7,-1.7,Non-Dropout
3385,single,1st phase - general contingent,1,Social Service,daytime,Secondary education,115.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",108.7,0,0,0,1,female,1,19,0,0,6,9,5,10.8,0,0,6,8,6,10.714285714285714,0,15.5,2.8,-4.06,Non-Dropout
3386,single,1st phase - general contingent,2,Nursing,daytime,Secondary education,147.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year,Administrative staff,Intermediate Level Technicians and Professions,136.7,0,0,0,1,female,0,18,0,0,7,7,7,13.995714285714287,0,0,8,9,8,14.955555555555556,0,11.1,0.6,2.02,Non-Dropout
3387,single,2nd phase - general contingent,1,Veterinary Nursing,daytime,Secondary education,132.0,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,Administrative staff,Unskilled Workers,119.1,0,0,0,1,female,0,20,0,0,6,8,6,13.285714285714286,0,0,6,16,6,11.8,0,12.4,0.5,1.79,Non-Dropout
3388,single,1st phase - general contingent,4,Animation and Multimedia Design,daytime,Secondary education,146.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",151.3,1,0,0,1,female,1,19,0,6,12,12,12,12.75,0,4,11,16,11,13.25,0,8.9,1.4,3.51,Non-Dropout
3389,single,Change of course,1,Social Service,daytime,Secondary education,109.0,Portuguese,Basic Education 3rd Cycle,Basic education 1st cycle,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",108.3,0,0,0,1,female,1,21,0,0,6,15,2,10.5,0,0,6,8,5,12.4,0,10.8,1.4,1.74,Non-Dropout
3390,single,2nd phase - general contingent,1,Basic Education,daytime,Secondary education,133.0,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,Unskilled Workers,Unskilled Workers,127.4,0,0,1,1,female,1,18,0,0,7,7,7,12.714285714285714,0,0,7,7,7,12.285714285714286,0,16.2,0.3,-0.92,Non-Dropout
3391,single,Transfer,1,Nursing,daytime,Secondary education,124.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Administrative staff,Unskilled Workers,124.0,0,0,0,1,female,0,23,0,0,8,8,8,12.88625,0,0,8,8,8,12.88625,0,9.4,-0.8,-3.12,Non-Dropout
3392,single,1st phase - general contingent,1,Communication Design,daytime,Secondary education,133.1,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Unskilled Workers,Unskilled Workers,155.0,0,0,0,1,female,1,21,0,0,6,7,5,13.0,0,0,6,6,6,12.666666666666666,0,16.2,0.3,-0.92,Non-Dropout
3393,single,1st phase - general contingent,1,Management,daytime,Secondary education,121.0,Portuguese,Basic education 1st cycle,Basic Education 2nd Cycle,Unskilled Workers,Unskilled Workers,114.0,0,0,0,1,female,1,19,0,0,5,7,5,12.2,0,0,5,6,5,11.2,0,11.1,0.6,2.02,Non-Dropout
3394,single,1st phase - general contingent,2,Management,daytime,Secondary education,129.0,Portuguese,Basic Education 2nd Cycle,Basic Education 3rd Cycle,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",118.9,1,0,0,1,female,0,19,0,0,5,8,4,12.8,0,0,5,10,3,14.5,0,10.8,1.4,1.74,Non-Dropout
3395,single,Short cycle diploma holders,1,Veterinary Nursing,daytime,Professional higher technical course,160.0,Portuguese,Basic Education 3rd Cycle,Basic education 1st cycle,Administrative staff,Unskilled Workers,160.0,1,0,0,1,female,0,20,0,7,11,15,11,13.785714285714286,0,4,9,9,9,13.88888888888889,0,8.9,1.4,3.51,Non-Dropout
3396,single,Change of course,1,Management,daytime,Secondary education,131.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle,Specialists in Intellectual and Scientific Activities,Unskilled Workers,126.1,0,0,0,1,female,0,18,0,0,5,5,0,0.0,0,0,5,9,4,13.25,2,16.2,0.3,-0.92,Non-Dropout
3397,single,1st phase - general contingent,1,Nursing,daytime,Secondary education,150.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",136.5,1,0,0,1,female,1,18,0,0,8,8,8,14.50125,0,0,8,8,8,14.50125,0,9.4,-0.8,-3.12,Non-Dropout
3398,married,1st phase - general contingent,5,Nursing,daytime,Secondary education,130.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Administrative staff,Administrative staff,122.3,0,0,0,1,female,0,19,0,0,7,7,6,14.35,0,0,7,7,6,14.35,0,7.6,2.6,0.32,Non-Dropout
3399,single,2nd phase - general contingent,1,Communication Design,daytime,Secondary education,133.1,Portuguese,Basic Education 2nd Cycle,Basic Education 3rd Cycle,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",128.0,0,0,0,1,female,1,21,0,0,6,6,6,11.5,0,0,6,6,6,12.333333333333334,0,9.4,-0.8,-3.12,Non-Dropout
3400,single,1st phase - general contingent,1,Social Service,daytime,Secondary education,154.0,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,Unskilled Workers,Unskilled Workers,156.5,1,1,0,1,female,1,18,0,0,6,8,6,11.714285714285714,0,0,6,6,6,14.666666666666666,0,12.7,3.7,-1.7,Non-Dropout
3401,single,1st phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,126.0,Portuguese,Basic education 1st cycle,Basic Education 3rd Cycle,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",125.7,0,0,0,1,female,0,20,0,0,6,9,6,13.571428571428571,0,0,6,10,5,13.6,0,15.5,2.8,-4.06,Non-Dropout
3402,single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary education,150.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",143.0,0,0,0,1,female,0,18,0,0,6,6,5,13.0,0,0,6,6,6,13.666666666666666,0,12.7,3.7,-1.7,Non-Dropout
3403,single,2nd phase - general contingent,5,Nursing,daytime,Secondary education,141.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",131.9,1,0,0,1,female,1,18,0,0,7,8,7,13.56875,0,0,8,8,8,14.02625,0,15.5,2.8,-4.06,Non-Dropout
3404,married,Change of course,1,Management (evening attendance),evening,Secondary education,134.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,113.7,0,0,0,1,female,0,32,0,1,5,5,5,10.2,0,0,5,9,4,11.25,0,9.4,-0.8,-3.12,Non-Dropout
3405,single,2nd phase - general contingent,2,Animation and Multimedia Design,daytime,Secondary education,146.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,155.1,1,0,0,1,female,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Non-Dropout
3406,single,1st phase - special contingent (Madeira Island),3,Basic Education,daytime,Secondary education,134.0,Portuguese,Basic Education 3rd Cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,121.1,1,0,0,1,female,0,19,0,0,6,8,5,12.2,0,0,6,8,5,11.8,0,10.8,1.4,1.74,Non-Dropout
3407,single,1st phase - general contingent,3,Nursing,daytime,Secondary education,139.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Unskilled Workers,Intermediate Level Technicians and Professions,130.3,1,0,0,1,female,1,18,0,0,8,8,8,14.15375,0,0,8,8,8,14.15375,0,9.4,-0.8,-3.12,Non-Dropout
3408,single,1st phase - general contingent,6,Nursing,daytime,Secondary education,136.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",123.3,0,0,0,0,female,0,18,0,0,8,8,0,0.0,8,0,8,8,0,0.0,8,9.4,-0.8,-3.12,Dropout
3409,single,1st phase - general contingent,5,Journalism and Communication,daytime,Secondary education,110.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",117.4,1,0,0,1,female,0,20,0,0,6,7,6,13.833333333333334,0,0,6,6,6,12.833333333333334,0,11.1,0.6,2.02,Non-Dropout
3410,single,1st phase - special contingent (Azores Island),1,Advertising and Marketing Management,daytime,Secondary education,135.0,Portuguese,Secondary Education - 12th Year,Other - 11th Year,Administrative staff,Administrative staff,140.3,1,0,0,1,female,0,19,0,0,6,7,6,13.428571428571429,0,0,6,6,4,14.0,0,12.4,0.5,1.79,Non-Dropout
3411,single,2nd phase - general contingent,4,Nursing,daytime,Secondary education,129.0,Portuguese,Basic Education 2nd Cycle,Basic education 1st cycle,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",120.0,1,0,0,1,female,0,19,0,0,8,8,7,12.454285714285716,0,0,8,8,7,12.454285714285716,0,10.8,1.4,1.74,Non-Dropout
3412,single,2nd phase - general contingent,1,Management,daytime,Secondary education,139.0,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",133.4,0,0,0,1,female,0,18,0,0,5,9,1,11.0,1,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Non-Dropout
3413,single,1st phase - general contingent,4,Nursing,daytime,Secondary education,137.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",126.7,1,0,0,1,female,0,18,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,15.5,2.8,-4.06,Dropout
3414,single,2nd phase - general contingent,3,Nursing,daytime,Secondary education,138.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,129.3,1,0,0,1,female,1,18,0,0,7,8,6,13.271666666666668,0,0,8,11,7,12.94375,0,12.4,0.5,1.79,Non-Dropout
3415,single,2nd phase - general contingent,6,Nursing,daytime,Secondary education,136.0,Portuguese,Higher Education - Degree,Basic Education 2nd Cycle,Specialists in Intellectual and Scientific Activities,Unskilled Workers,125.7,1,0,0,1,female,0,20,0,0,7,8,6,13.548333333333334,0,0,8,11,6,14.775,0,11.1,0.6,2.02,Non-Dropout
3416,single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary education,143.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,"Personal Services, Security and Safety Workers and Sellers",144.8,0,0,0,1,female,0,19,0,0,6,6,6,12.166666666666666,0,0,6,6,6,12.5,0,16.2,0.3,-0.92,Non-Dropout
3417,single,1st phase - general contingent,1,Tourism,daytime,Secondary education,133.1,Portuguese,Basic Education 2nd Cycle,Basic Education 3rd Cycle,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,98.6,0,0,0,1,female,0,21,0,0,6,16,2,11.0,0,0,6,12,0,0.0,0,12.7,3.7,-1.7,Dropout
3418,single,1st phase - general contingent,1,Basic Education,daytime,Secondary education,136.0,Portuguese,Basic Education 2nd Cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,126.9,1,0,0,1,female,1,19,0,0,7,7,7,13.285714285714286,0,0,7,7,7,14.428571428571429,0,11.1,0.6,2.02,Non-Dropout
3419,single,2nd phase - general contingent,1,Social Service,daytime,Secondary education,139.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,Administrative staff,Unskilled Workers,146.7,1,0,0,1,female,1,20,0,0,6,6,6,13.333333333333334,0,0,6,7,6,14.0,0,15.5,2.8,-4.06,Non-Dropout
3420,single,1st phase - general contingent,1,Nursing,daytime,Secondary education,125.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Unskilled Workers,Administrative staff,117.0,0,0,0,1,female,1,21,0,0,8,8,8,13.2575,0,0,8,8,8,13.2575,0,9.4,-0.8,-3.12,Non-Dropout
3421,single,Technological specialization diploma holders,1,Veterinary Nursing,daytime,Technological specialization course,130.0,Portuguese,Basic education 1st cycle,Basic Education 2nd Cycle,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",130.0,1,0,0,1,female,0,23,0,0,6,7,0,0.0,0,0,6,7,0,0.0,0,11.1,0.6,2.02,Dropout
3422,single,2nd phase - general contingent,1,Social Service,daytime,Secondary education,137.0,Portuguese,Secondary Education - 12th Year,Basic Education 2nd Cycle,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,125.8,0,0,0,0,female,1,18,0,0,6,10,6,12.666666666666666,0,0,6,6,2,11.5,0,12.7,3.7,-1.7,Dropout
3423,married,Over 23 years old,1,Management (evening attendance),evening,Higher education - degree,130.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year,Legislative/Executive/Directors,Armed Forces Professions,160.0,0,0,0,1,female,0,30,0,0,5,5,5,14.6,0,0,5,5,5,15.4,0,12.7,3.7,-1.7,Dropout
3424,single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary education,130.0,Portuguese,12th Year - Not Completed,Basic Education 3rd Cycle,Administrative staff,Legislative/Executive/Directors,134.2,1,0,0,1,female,0,20,0,0,5,13,0,0.0,5,0,5,5,0,0.0,5,9.4,-0.8,-3.12,Dropout
3425,married,Change of course,2,Management,daytime,Secondary education,160.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,96.0,0,0,0,0,female,0,29,0,3,5,7,3,12.333333333333334,0,0,5,8,0,0.0,0,10.8,1.4,1.74,Dropout
3426,single,3rd phase - general contingent,1,Management,daytime,Secondary education,100.0,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",101.8,1,0,0,1,female,0,24,0,0,5,5,5,10.8,0,0,5,11,2,11.0,0,10.8,1.4,1.74,Non-Dropout
3427,single,1st phase - general contingent,1,Social Service,daytime,Secondary education,136.0,Portuguese,Basic Education 3rd Cycle,Secondary Education - 12th Year,Administrative staff,Intermediate Level Technicians and Professions,125.2,1,0,0,1,female,0,20,0,0,6,7,6,11.666666666666666,0,0,6,10,6,11.333333333333334,0,7.6,2.6,0.32,Non-Dropout
3428,single,Change of course,1,Social Service (evening attendance),evening,Secondary education,117.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,100.0,0,0,0,1,female,0,27,0,0,6,6,4,12.5,0,0,6,6,6,14.333333333333334,0,13.9,-0.3,0.79,Dropout
3429,married,Holders of other higher courses,1,Management,daytime,Higher education - degree,140.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,140.0,0,0,0,1,female,0,23,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout
3430,single,Change of institution/course,1,Communication Design,daytime,Secondary education,132.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Personal care workers and the like,Personal care workers and the like,120.0,0,0,0,1,female,1,23,0,0,6,6,6,15.333333333333334,0,0,6,6,6,14.166666666666666,0,11.1,0.6,2.02,Non-Dropout
3431,single,1st phase - general contingent,3,Nursing,daytime,Secondary education,147.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Administrative staff,Administrative staff,134.3,1,0,0,1,female,0,18,0,0,8,8,7,14.2,0,0,8,8,7,14.2,0,12.7,3.7,-1.7,Non-Dropout
3432,single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary education,158.0,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",144.7,1,0,0,1,female,1,19,0,0,6,6,6,14.833333333333334,0,0,6,6,6,14.666666666666666,0,12.7,3.7,-1.7,Non-Dropout
3433,single,2nd phase - general contingent,6,Nursing,daytime,Secondary education,142.0,Portuguese,Basic Education 3rd Cycle,Basic education 1st cycle,Administrative staff,Unskilled Workers,131.9,1,0,0,1,female,0,19,0,0,7,7,7,13.642857142857142,0,0,8,8,8,14.3875,0,13.9,-0.3,0.79,Dropout
3434,single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary education,143.0,Portuguese,Secondary Education - 12th Year,Basic Education 2nd Cycle,Installation and Machine Operators and Assembly Workers,Installation and Machine Operators and Assembly Workers,136.7,1,0,0,1,female,1,18,0,0,6,6,6,13.833333333333334,0,0,6,6,6,14.0,0,11.1,0.6,2.02,Dropout
3435,single,1st phase - general contingent,2,Communication Design,daytime,Secondary education,135.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",129.8,1,0,0,1,female,0,19,0,0,6,6,6,11.833333333333334,0,0,6,7,6,13.0,0,9.4,-0.8,-3.12,Non-Dropout
3436,single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary education,160.0,Portuguese,Secondary Education - 12th Year,Basic Education 2nd Cycle,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",146.5,0,0,0,1,female,1,18,0,0,6,7,6,13.428571428571429,0,0,6,10,6,13.5,0,13.9,-0.3,0.79,Non-Dropout
3437,single,Change of course,1,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Installation and Machine Operators and Assembly Workers,122.5,1,0,0,1,female,0,29,0,8,13,16,8,10.5,0,8,12,19,9,10.333333333333334,0,9.4,-0.8,-3.12,Non-Dropout
3438,single,Over 23 years old,2,Oral Hygiene,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",117.8,0,0,0,1,female,0,24,0,0,7,10,6,11.416666666666666,0,0,8,9,8,11.9625,0,13.9,-0.3,0.79,Non-Dropout
3439,single,2nd phase - general contingent,2,Oral Hygiene,daytime,Secondary education,133.1,Portuguese,Basic education 1st cycle,Basic Education 2nd Cycle,Unskilled Workers,Installation and Machine Operators and Assembly Workers,106.0,1,0,0,1,female,0,19,0,0,7,16,2,12.75,0,0,7,12,2,11.0,0,8.9,1.4,3.51,Dropout
3440,single,2nd phase - general contingent,1,Oral Hygiene,daytime,Secondary education,133.0,Portuguese,Secondary Education - 12th Year,Basic Education 2nd Cycle,Administrative staff,Unskilled Workers,119.0,0,0,0,1,female,0,19,0,0,7,10,6,11.15,0,0,7,7,7,12.814285714285717,0,12.7,3.7,-1.7,Non-Dropout
3441,single,1st phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,120.0,Portuguese,Basic Education 2nd Cycle,Basic Education 3rd Cycle,Administrative staff,Installation and Machine Operators and Assembly Workers,115.1,0,0,0,1,female,0,19,0,0,6,8,3,11.666666666666666,0,0,6,11,5,13.625,0,10.8,1.4,1.74,Non-Dropout
3442,single,2nd phase - general contingent,4,Tourism,daytime,Secondary education,106.0,Portuguese,Basic education 1st cycle,Basic Education 3rd Cycle,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",116.9,1,0,0,1,female,0,20,0,0,6,7,6,11.5,0,0,6,8,5,12.4,0,11.1,0.6,2.02,Non-Dropout
3443,single,1st phase - general contingent,2,Journalism and Communication,daytime,Secondary education,148.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Unskilled Workers,Unskilled Workers,141.7,0,0,0,1,female,0,18,0,0,6,6,6,13.833333333333334,0,0,6,6,6,12.666666666666666,0,10.8,1.4,1.74,Non-Dropout
3444,single,1st phase - general contingent,2,Communication Design,daytime,Secondary education,134.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,127.7,1,0,0,0,female,0,18,0,1,6,8,6,11.714285714285714,1,0,6,11,4,11.333333333333334,0,13.9,-0.3,0.79,Dropout
3445,single,1st phase - general contingent,5,Nursing,daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle,Secondary Education - 12th Year,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",122.1,1,0,0,1,female,1,19,0,0,7,8,7,11.678571428571429,0,0,8,10,7,13.0375,0,12.4,0.5,1.79,Non-Dropout
3446,single,1st phase - special contingent (Madeira Island),1,Veterinary Nursing,daytime,Secondary education,150.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Legislative/Executive/Directors,153.5,1,0,0,1,female,0,19,0,0,6,7,6,15.714285714285714,0,0,6,6,6,14.666666666666666,0,13.9,-0.3,0.79,Dropout
3447,single,1st phase - general contingent,1,Animation and Multimedia Design,daytime,Secondary education,141.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,141.4,1,0,0,1,female,1,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Non-Dropout
3448,single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary education,140.0,Portuguese,Basic Education 3rd Cycle,Basic education 1st cycle,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",135.8,1,0,0,1,female,1,19,0,0,6,6,6,13.0,0,0,6,7,6,13.0,0,10.8,1.4,1.74,Non-Dropout
3449,single,1st phase - general contingent,2,Nursing,daytime,Secondary education,138.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,127.5,1,0,0,1,female,1,18,0,0,7,7,7,14.485714285714286,0,0,8,9,8,14.58888888888889,0,16.2,0.3,-0.92,Non-Dropout
3450,single,Over 23 years old,1,Management (evening attendance),evening,Secondary education,130.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,151.6,0,0,0,1,female,0,24,0,0,5,9,5,12.285714285714286,0,0,5,8,5,12.125,0,16.2,0.3,-0.92,Non-Dropout
3451,single,Over 23 years old,1,Nursing,daytime,Secondary education,133.1,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,"Personal Services, Security and Safety Workers and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",121.4,0,0,1,1,female,0,28,0,0,7,12,4,13.375,0,0,7,7,5,13.5,0,13.9,-0.3,0.79,Non-Dropout
3452,single,Transfer,1,Nursing,daytime,Secondary education,133.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Administrative staff,Administrative staff,100.0,0,0,0,1,female,0,20,0,1,8,8,7,11.571428571428571,0,1,8,8,7,11.571428571428571,0,12.7,3.7,-1.7,Non-Dropout
3453,single,1st phase - general contingent,6,Nursing,daytime,Secondary education,150.0,Portuguese,Basic education 1st cycle,Basic Education 2nd Cycle,Unskilled Workers,Unskilled Workers,131.5,1,0,0,1,female,1,19,0,0,8,8,7,12.657142857142857,0,0,8,8,7,12.657142857142857,0,12.7,3.7,-1.7,Non-Dropout
3454,single,2nd phase - general contingent,1,Management,daytime,Secondary education,117.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,109.3,0,0,0,0,female,0,22,0,0,5,9,2,10.0,1,0,5,11,1,10.0,0,9.4,-0.8,-3.12,Dropout
3455,single,1st phase - general contingent,1,Social Service,daytime,Secondary education,145.0,Portuguese,Basic Education 3rd Cycle,Secondary Education - 12th Year,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Personal Services, Security and Safety Workers and Sellers",127.9,1,0,0,1,female,0,19,0,0,6,7,6,13.714285714285714,0,0,6,6,6,13.166666666666666,0,12.7,3.7,-1.7,Non-Dropout
3456,single,Holders of other higher courses,1,Social Service,daytime,Higher education - degree,140.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,140.0,1,0,0,1,female,0,36,0,10,14,21,13,13.071428571428571,0,4,11,16,11,13.0,0,16.2,0.3,-0.92,Non-Dropout
3457,single,Technological specialization diploma holders,1,Agronomy,daytime,Technological specialization course,160.0,Portuguese,Basic education 1st cycle,Basic Education 2nd Cycle,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",160.0,0,0,0,1,female,1,19,0,0,6,7,6,15.333333333333334,0,0,6,9,6,14.0,0,15.5,2.8,-4.06,Non-Dropout
3458,single,2nd phase - general contingent,1,Social Service,daytime,Secondary education,125.0,Portuguese,Higher Education - Master,Higher Education - Degree,Legislative/Executive/Directors,Legislative/Executive/Directors,119.8,0,0,0,1,female,0,18,0,0,6,9,5,11.571428571428571,0,0,6,8,6,12.142857142857142,0,16.2,0.3,-0.92,Non-Dropout
3459,divorced,Change of course,4,Management (evening attendance),evening,Other - 11th year of schooling,133.1,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,153.0,0,0,0,0,female,0,40,0,0,5,10,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
3460,single,1st phase - general contingent,2,Nursing,daytime,Secondary education,139.0,Portuguese,Basic Education 2nd Cycle,Basic education 1st cycle,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",125.0,1,0,0,1,female,1,19,0,0,7,7,6,12.9,0,0,7,7,6,12.9,0,7.6,2.6,0.32,Non-Dropout
3461,divorced,Change of course,1,Nursing,daytime,Secondary education,130.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,103.7,0,0,0,1,female,0,38,0,1,8,12,5,13.126,1,1,8,12,5,13.126,1,10.8,1.4,1.74,Non-Dropout
3462,single,Holders of other higher courses,1,Veterinary Nursing,daytime,Higher education - degree,120.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",120.0,0,0,0,1,female,0,32,0,4,10,20,4,11.5,2,3,9,13,3,11.666666666666666,2,15.5,2.8,-4.06,Dropout
